,Outputs
512,168.78341674804688
513,184.96026611328125
514,193.4330291748047
515,151.21182250976562
516,185.4534454345703
517,141.3823699951172
518,140.23350524902344
519,391.9278259277344
520,137.17991638183594
521,132.69256591796875
522,202.2351837158203
523,146.0295867919922
524,208.7646942138672
525,290.6114807128906
526,124.050048828125
527,192.84059143066406
528,122.2603759765625
529,239.54254150390625
530,140.56954956054688
531,146.528564453125
532,124.66874694824219
533,124.28474426269531
534,143.7182159423828
535,346.56793212890625
536,139.46177673339844
537,138.51853942871094
538,123.94932556152344
539,128.99514770507812
540,151.60084533691406
541,130.30657958984375
542,158.16542053222656
543,172.3281707763672
544,175.41934204101562
545,310.99322509765625
546,183.6172637939453
547,229.27610778808594
548,137.89328002929688
549,156.3012237548828
550,145.06060791015625
551,142.6500701904297
552,130.96820068359375
553,122.39007568359375
554,139.92576599121094
555,142.9189910888672
556,141.71575927734375
557,122.60627746582031
558,123.19947814941406
559,155.23106384277344
560,131.3440399169922
561,191.4759521484375
562,133.99453735351562
563,131.0665283203125
564,125.21141052246094
565,181.1961212158203
566,182.7626495361328
567,131.7658233642578
568,142.0460662841797
569,195.03294372558594
570,125.00318908691406
571,126.02906799316406
572,131.804931640625
573,131.804931640625
574,214.91188049316406
575,133.5355987548828
576,140.12107849121094
577,163.9074249267578
578,144.4230194091797
579,161.150390625
580,137.63108825683594
581,359.5647888183594
582,146.81076049804688
583,132.5044708251953
584,121.96029663085938
585,161.69935607910156
586,136.49380493164062
587,128.0281219482422
588,160.2395782470703
589,139.20216369628906
590,516.2583618164062
591,131.1394500732422
592,199.60057067871094
593,126.75729370117188
594,134.4979248046875
595,200.91036987304688
596,125.71635437011719
597,128.3622589111328
598,142.85902404785156
599,120.56124877929688
600,447.0182800292969
601,333.1519470214844
602,184.54139709472656
603,127.72573852539062
604,139.18194580078125
605,402.4008483886719
606,188.90594482421875
607,157.5393524169922
608,195.06944274902344
609,122.40771484375
610,163.87611389160156
611,135.1444854736328
612,258.54290771484375
613,122.09857177734375
614,122.40786743164062
615,140.1339569091797
616,466.67034912109375
617,200.95201110839844
618,120.28620910644531
619,154.49008178710938
620,140.6223602294922
621,122.34492492675781
622,141.8660430908203
623,158.38821411132812
624,275.8369140625
625,121.63270568847656
